"ProbeID","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","status","SYMBOL_final","ENSEMBL_final","GENES","threshold","Exclude_bio_change"
"10567072",-0.182961606098692,-0.453812984604481,0.0878897724070965,10.0715355101821,-1.45406059597991,0.168812173592451,0.411009952396706,-5.3559983957691,"only_in_df1","Psma1","ENSMUSG00000030751","Psma1_ENSMUSG00000030751",FALSE,TRUE
"10365136",-0.267854578551257,-0.498920220464289,-0.0367889366382251,9.47512690677264,-2.49526855023649,0.0262620057923633,0.192883909527985,-3.72334275245998,"common","Tle5","ENSMUSG00000054452","Tle5_ENSMUSG00000054452",FALSE,TRUE
"10556246",-0.102337614464282,-0.369016861791181,0.164341632862616,9.41367119116035,-0.826037303382661,0.423161024799556,0.64978435570071,-6.0317031743175,"common","Zfp143","ENSMUSG00000061079","Zfp143_ENSMUSG00000061079",FALSE,TRUE
"10556266",-0.0918705743846901,-0.279997811865041,0.0962566630956605,11.4221590520608,-1.05118303987488,0.311652753139857,0.554500665048259,-5.82519591658132,"common","Wee1","ENSMUSG00000031016","Wee1_ENSMUSG00000031016",FALSE,TRUE
"10556280",-0.0367510715404363,-0.29935552075586,0.225853377674987,8.20302352709287,-0.30124615892836,0.767823026425356,0.885412637449358,-6.33166751215747,"common","Swap70","ENSMUSG00000031015","Swap70_ENSMUSG00000031015",FALSE,TRUE
"10556295",-0.0412425860707055,-0.257799840751177,0.175314668609766,9.02108066623722,-0.409946085746723,0.688285287692833,0.839032433524944,-6.29171339021495,"only_in_df2","Gm9132","ENSMUSG00000110102","Gm9132_ENSMUSG00000110102",FALSE,TRUE
"10556413",0.0110907429802996,-0.219879604922881,0.24206109088348,11.8552118414541,0.10336130983995,0.919198014344042,0.964106632874751,-6.37329511444623,"only_in_df2","Mical2","ENSMUSG00000038244","Mical2_ENSMUSG00000038244",FALSE,TRUE
"10556426",0.0624321985570212,-0.186351391876713,0.311215788990756,10.0836166428293,0.540182473901854,0.597882152642546,0.778217230927043,-6.22824247141572,"common","Parva","ENSMUSG00000030770","Parva_ENSMUSG00000030770",FALSE,TRUE
"10556456",0.025800461903604,-0.183140294321389,0.234741218128597,9.06255185411795,0.26580179578537,0.794413401762155,0.899491277104029,-6.34209338039111,"common","Tead1","ENSMUSG00000055320","Tead1_ENSMUSG00000055320",FALSE,TRUE
"10556463",-0.133215276632972,-0.322106649222218,0.0556760959562747,8.37475580476704,-1.51808294203945,0.152090524380158,0.391568506693113,-5.2710603442032,"common","Bmal1","ENSMUSG00000055116","Bmal1_ENSMUSG00000055116",FALSE,TRUE
"10556491",-0.0700781302431579,-0.246452523610736,0.10629626312442,11.2504345399958,-0.855264733962019,0.407347913152437,0.637763689745121,-6.00736939719315,"common","Far1","ENSMUSG00000030759","Far1_ENSMUSG00000030759",FALSE,TRUE
"10556509",-0.278430665212619,-0.468248241122568,-0.0886130893026703,9.39564606613095,-3.1574336559204,0.00727245941046493,0.120284785219578,-2.52004414582267,"common","Spon1","ENSMUSG00000038156","Spon1_ENSMUSG00000038156",FALSE,TRUE
"10365145",0.17519664869573,-0.0495054181589238,0.399898715550385,8.20315108164194,1.67831052845631,0.116304211419479,0.349851675830873,-5.04760048042341,"common","Tle2","ENSMUSG00000034771","Tle2_ENSMUSG00000034771",FALSE,TRUE
"10556553",0.198899412348188,0.00886156126070181,0.388937263435674,8.37122630346542,2.25292627964276,0.041502338687531,0.227612194722053,-4.14171426276928,"common","Insc","ENSMUSG00000048782","Insc_ENSMUSG00000048782",FALSE,TRUE
"10556576",-0.201313680421808,-0.436284993509448,0.0336576326658324,10.8955500280859,-1.8442170663377,0.0872349618884679,0.308766977567459,-4.80131570863119,"common","1110004F10Rik","ENSMUSG00000030663","1110004F10Rik_ENSMUSG00000030663",FALSE,TRUE
"10556581",0.127286158562182,-0.0991212694488758,0.35369358657324,9.0591924869421,1.21016364096604,0.247007637721656,0.494042901842788,-5.65433391883341,"only_in_df2","Gm44777","ENSMUSG00000108738","Gm44777_ENSMUSG00000108738",FALSE,TRUE
"10556616",-0.0336595718478152,-0.234619604083187,0.167300460387557,11.0308170033345,-0.360539197314524,0.724030205143051,0.859524638794156,-6.31135842770982,"common","Tmc5","ENSMUSG00000030650","Tmc5_ENSMUSG00000030650",FALSE,TRUE
"10556640",-0.0682635225130818,-0.25837755263243,0.121850507606266,11.8430114041619,-0.772908562133655,0.45291535422622,0.674365157023738,-6.07397541533956,"common","Ccp110","ENSMUSG00000033904","Ccp110_ENSMUSG00000033904",FALSE,TRUE
"10556658",-0.238040625047201,-0.415762858442905,-0.0603183916514961,10.3318836850984,-2.88312127929831,0.0124241233470173,0.147216649636593,-3.02598852042643,"common","Vps35l","ENSMUSG00000030982","Vps35l_ENSMUSG00000030982",FALSE,TRUE
"10556691",0.000438704656475505,-0.232663148739514,0.233540558052465,9.99208857727279,0.00405116665439733,0.996826980856215,0.998949672101524,-6.37886032593638,"common","Iqck","ENSMUSG00000073856","Iqck_ENSMUSG00000073856",FALSE,TRUE
