"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT",0.00622244591617359,0.392862714666489,0.407017918923954,-0.52253028987606,-1.77143038131346,32,"Rps6kb1; Septin7; C3; Slc2a12; Enpp1; Hk2; Oga"
"GOBP_CARBOHYDRATE_TRANSPORT",0.00296849446558925,0.392862714666489,0.431707695803346,-0.512530764067974,-1.80599138742087,40,"Rps6kb1; Septin7; Slc35a3; C3; Slc2a12; Enpp1; Slc35a4; Hk2; Oga; Aqp2; Slc27a1; Slc1a2; Slc50a1"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.00535279507080835,0.392862714666489,0.407017918923954,0.300844397395176,1.48856333704116,136,"Notch2; Parp1; Ltbp4; Fstl1; Rbbp4; Pin1; Megf8; Jak2; Arid4b; Htra3; Col1a2; Vasn; Jun; Cdh5; Sinhcaf; Dlx5; Spred3; Htra1; Zc3h3; Spred2; Gipc1; Stat3; Hipk2; Brms1; Smad5; Zeb1; Sh2b1; Mir210; Stub1; Tgfb1; Chrdl1"
"GOBP_CHROMOSOME_CONDENSATION",0.00566585586350992,0.392862714666489,0.407017918923954,0.586939670495931,1.87676503226724,19,"Smarca5; Ncaph; Chmp1a; H1f7; Ncaph2; H1f1; Cdca5"
"GOBP_CHROMOSOME_ORGANIZATION",0.00474489280564719,0.392862714666489,0.407017918923954,0.248844899184688,1.35183443705619,284,"Resf1; Fancd2; Top1mt; Supv3l1; Parp1; Lsm14a; Ran; Prdm9; Ppp2r1a; Cenpa; Smarca5; Spata22; Vps4b; Hnrnpu; Fbxo5; Ncaph; Chmp1a; Dctn2; Riok2; Wdhd1; Nup62; Cdc45; Cit; Shld2; Chmp2b; Syce1l; Tpr; Itpa; Uchl5; H1f7; Ncaph2; Xpa; Zfp830; Mcm5; Wrap73; Sycp3; Xrcc4; Cenpc1; Psmg2; Bcl7b; Anxa1; Nudc; Bcl7c; H1f1"
"GOBP_FATTY_ACID_CATABOLIC_PROCESS",0.00499772288555423,0.392862714666489,0.407017918923954,-0.477122636079695,-1.73057425014063,47,"Etfbkmt; Auh; Eci2; Acsbg2; Lpin3; Cpt2; Tysnd1; Abcd1; Abhd1; Acsl5; Hadh; Acat3; Echdc1; Pex13; Ces1d; Abcb11"
"GOBP_HETEROCHROMATIN_FORMATION",0.00636545320814004,0.392862714666489,0.407017918923954,0.395100180357321,1.63838450295418,54,"Resf1; H2ax; L3mbtl1; Tdrd12; Smarca5; Hnrnpu; Wdhd1; Tpr; H2ap"
"GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS",0.00509705222625488,0.392862714666489,0.407017918923954,0.61922122599945,1.91296436316865,17,"Raf1; Krt33b; Nefh; Synm; Sod1; Pkp1; Krt87; Pkp2; Krt42"
"GOBP_MITOTIC_NUCLEAR_DIVISION",0.000716076845620649,0.392862714666489,0.477270815362862,0.326721371627281,1.62284447712646,137,"L3mbtl1; Lsm14a; Ran; Ppp2r1a; Smarca5; Vps4b; Hnrnpu; Fbxo5; Ncaph; Chmp1a; Dctn2; Nup62; Cit; Ywhah; Chmp2b; Tpr; Mki67; Ncaph2; Wrap73; Cenpc1; Cul9; Psmg2; Brox; Nudc; Sh2b1; Cdca5; Fbxo43; Tgfb1; Atm; Gen1; Anapc11; Rangrf; Ska1"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.00332142908473992,0.392862714666489,0.431707695803346,0.334710560057409,1.56955994627336,101,"Lsm14a; Ran; Ppp2r1a; Smarca5; Vps4b; Hnrnpu; Fbxo5; Ncaph; Chmp1a; Dctn2; Nup62; Cit; Chmp2b; Tpr; Ncaph2; Wrap73; Cenpc1; Psmg2; Nudc; Cdca5; Atm; Gen1; Anapc11; Rangrf; Ska1"
"GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",0.00523015094326219,0.392862714666489,0.407017918923954,-0.459248729414945,-1.71573254071742,53,"Etfbkmt; Auh; Eci2; Acsbg2; Lpin3; Idnk; Cpt2; Tysnd1; Abcd1; Abhd1; Acsl5; Hadh; Acat3; Echdc1; Pex13; Ces1d; Abcb11"
