"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOMF_ENDONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS",0.000906296344728627,0.359799648857265,0.477270815362862,0.678283880878429,2.10687536048066,16,"Rpp38; Pld6; Exo1; Ago2; Endov; Rpp14; Gen1; Nudt16l2; Elac2"
"GOMF_CALCIUM_ION_BINDING",0.00241989768046625,0.480349689572551,0.431707695803346,0.287737292260503,1.47261230576105,184,"Adgrl3; Kcnip4; Plscr3; Dlk1; Pla2g4d; Notch2; Kcnip2; Anxa6; Ltbp4; Fstl1; Pla2g2c; Megf8; Fbln5; Fkbp10; Pros1; Cdh5; Fkbp9; Slc25a24; Ihh; Hmcn1; Ttyh3; Sned1; Jag1; Rcn2; Clxn; Efcab9; Amy1; Pam; Capsl; Anxa1"
"GOMF_ACETYLTRANSFERASE_ACTIVITY",0.0296952435449282,0.643919613893504,0.352487857583619,-0.44993338335904,-1.54659162909734,36,"Phf10; Crebbp; Naa20; Esco2; Ogt; Casd1; Taf10; Oga; Nat9; Acat3; Hgsnat; Esco1; Pafah2; Naa50; Naa80; Kat14; Ep300; Gnpnat1"
"GOMF_ACYLTRANSFERASE_ACTIVITY",0.0080560564267115,0.643919613893504,0.380730400722792,-0.306891958598545,-1.46229644933845,257,"Sh3rf1; Med7; Lipt2; Ppil2; Topors; Rnf208; Ccnc; Phf10; Rnf212; Soat1; Kmt2c; Crebbp; Osgep; Wdr24; Bard1; Zdhhc9; Naa20; Zswim2; Rnf38; Esco2; Fbxw11; Ppp1r11; Ube2q1; Rnf44; Pigw; Nedd4; Kctd10; Ogt; Vps11; Malt1; Triml1; Cpt2; Trim35; Casd1; Rnf43; Syvn1; Marchf5; Trim32; Taf10; Rnf148; Hltf; Trim52; Fbxl14; Oga; Nat9; Ufc1; Trim13; Acat3; Cul4a; Rnf149; Med17; Cpt1c; Trim59; Wwp1; Marchf6; Mycbp2; Hgsnat; Wsb1; Slc27a3; Esco1; Rnf130; Ddb2; Ube3d; Ube2s; Pafah2; Fancl; Csl; Dtx1; Rbbp6; Abhd14b; Rc3h1; Rnf7; Pcgf3; Clybl; D7Ertd443e; Map3k1; Trim14; Trim25; Rnf5; Naa50; Ark2n; Ccnb1ip1; Rnf2; Rnft1; Ube2e3; Naa80; Ube2dnl1; Klhl20; Zdhhc21; Atg5; Kat14; Ep300; Crot; Trim3; Mdm2; F13a1; Rnf217; Gnpnat1"
"GOMF_AMINOACYLTRANSFERASE_ACTIVITY",0.0535248041775457,0.643919613893504,0.222056046145248,-0.28690371018073,-1.30107476822787,177,"Sh3rf1; Med7; Ppil2; Topors; Rnf208; Ccnc; Rnf212; Wdr24; Bard1; Zswim2; Rnf38; Fbxw11; Ppp1r11; Ube2q1; Rnf44; Nedd4; Kctd10; Vps11; Malt1; Triml1; Trim35; Rnf43; Syvn1; Marchf5; Trim32; Rnf148; Hltf; Trim52; Fbxl14; Ufc1; Trim13; Cul4a; Rnf149; Med17; Trim59; Wwp1; Marchf6; Mycbp2; Wsb1; Rnf130; Ddb2; Ube3d; Ube2s; Fancl; Dtx1; Rbbp6; Rc3h1; Rnf7; Pcgf3; D7Ertd443e; Map3k1; Trim14; Trim25; Rnf5; Ark2n; Ccnb1ip1; Rnf2; Rnft1; Ube2e3; Ube2dnl1; Klhl20"
"GOMF_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.0291253169921191,0.643919613893504,0.352487857583619,0.427029736548694,1.5665983156214,31,"Slc6a14; Slc38a1; Slc17a7; Slc7a8; Slc25a26; Slc25a38; Slc6a6"
"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING",0.0293230909254588,0.643919613893504,0.352487857583619,0.445220239513648,1.51454045763827,23,"Plscr3; Anxa6; Clxn; Stx1a; Anxa1; Vamp2; Cpne3; S100a10; Mgp"
"GOMF_CARGO_RECEPTOR_ACTIVITY",0.0527156549520767,0.643919613893504,0.248911114434702,-0.46873845396008,-1.46612701899392,25,"Mrc1; Tmed5; Tmed3; Mia3; Enpp1; Hmmr; Abca1; Msr1; Scarf1"
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING",0.0469288813836129,0.643919613893504,0.321775918075361,0.239158574934517,1.2368567254464,203,"Hdac4; Bud31; Ahr; Notch2; Parp1; Ccnt1; Nr1h3; Ddx54; Bbs2; Cebpg; Jun; Ywhah; Stat3; Hipk2; Dhrs7b; Hspb1; Gsc; Brms1; Jup; Nucks1; Tle4; Ptpn2; Zbtb49; Dazap2; E4f1; Cry1; Bbs4; Klf1; Jund; Stat5b; Nfe2l2; Psmc3ip; Tmf1; Asah1; Tada3; Fkbp4; Nr0b1; Gtf2a1; Tox2; Exosc9; Gata1; Hsf1; Dot1l; Lmo4; Gmnn; Per1; Lcor; Sox8; Setd3; Pbx1; Kat5; Hmga1"
"GOMF_ENDONUCLEASE_ACTIVITY",0.0142335764915674,0.643919613893504,0.380730400722792,0.413217160935961,1.63678137952354,41,"Rpp38; Pld6; Alkbh2; Rexo4; Exo1; Xrcc4; Ago2; Endov; Rpp14; Gen1; Nudt16l2; Elac2; Mus81; Rnasek"
