"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00904547073001456,17,63,3,0.0476190476190476,0.176470588235294,"GO:0006068","GO:BP","ethanol catabolic process",26963,1935,"GO:0006067; GO:0034310"
"query_1",TRUE,0.00904547073001456,20,63,3,0.0476190476190476,0.15,"GO:0006067","GO:BP","ethanol metabolic process",26963,1934,"GO:0034308"
"query_1",TRUE,0.00932138269558438,23,63,3,0.0476190476190476,0.130434782608696,"GO:0034310","GO:BP","primary alcohol catabolic process",26963,8564,"GO:0034308; GO:0046164"
"query_1",TRUE,0.0109264577171854,260,63,6,0.0952380952380952,0.0230769230769231,"GO:0042445","GO:BP","hormone metabolic process",26963,10185,"GO:0008152; GO:0010817"
"query_1",TRUE,0.0129649879146529,176,63,5,0.0793650793650794,0.0284090909090909,"GO:0006694","GO:BP","steroid biosynthetic process",26963,2402,"GO:0008202; GO:0008610"
"query_1",TRUE,0.0129649879146529,570,63,8,0.126984126984127,0.0140350877192982,"GO:1901615","GO:BP","organic hydroxy compound metabolic process",26963,21597,"GO:0008152"
"query_1",TRUE,0.0155669774843797,189,63,5,0.0793650793650794,0.0264550264550265,"GO:0120254","GO:BP","olefinic compound metabolic process",26963,19583,"GO:0008152"
"query_1",TRUE,0.0222263896397031,114,63,4,0.0634920634920635,0.0350877192982456,"GO:0034308","GO:BP","primary alcohol metabolic process",26963,8562,"GO:0006066"
"query_1",TRUE,0.0222263896397031,342,63,6,0.0952380952380952,0.0175438596491228,"GO:0008202","GO:BP","steroid metabolic process",26963,3129,"GO:0006629"
"query_1",TRUE,0.0230680575803067,46,63,3,0.0476190476190476,0.0652173913043478,"GO:0046164","GO:BP","alcohol catabolic process",26963,11934,"GO:0006066; GO:0044282; GO:1901616"
"query_1",TRUE,0.0237453442953687,360,63,6,0.0952380952380952,0.0166666666666667,"GO:0006066","GO:BP","alcohol metabolic process",26963,1933,"GO:0044281; GO:1901615"
