GENES,SYMBOL_final,ENSEMBL_final,apt_adj.P.Val,apt_logFC,oligo_adj.P.Val,oligo_logFC
Pop4_ENSMUSG00000030423,Pop4,ENSMUSG00000030423,0.0344632378203599,-0.847451034241872,0.0305299552255684,-0.804385347421325
Folh1_ENSMUSG00000001773,Folh1,ENSMUSG00000001773,0.0144819411102404,-0.783992904534191,0.0135938800545878,-0.695663599636415
Star_ENSMUSG00000031574,Star,ENSMUSG00000031574,0.0144819411102404,-0.670139186564975,0.0083434514652303109,-0.648292995494967
AI429214_ENSMUSG00000074384,AI429214,ENSMUSG00000074384,0.0160637377677849,-0.574611370842858,0.0135938800545878,-0.525218435370026
Slc7a2_ENSMUSG00000031596,Slc7a2,ENSMUSG00000031596,0.00132955201617518,-0.874306400460209,0.00480206566923632,-0.666372909382653
Rwdd4a_ENSMUSG00000031568,Rwdd4a,ENSMUSG00000031568,0.0090951089714792,-0.582117727699236,0.0135938800545878,-0.515719418870196
Gpt2_ENSMUSG00000031700,Gpt2,ENSMUSG00000031700,0.0112416297341698,-0.529238897473194,0.0135938800545878,-0.506922742489009
Stat2_ENSMUSG00000040033,Stat2,ENSMUSG00000040033,0.00909274044907836,-1.04066839152785,0.0144186761832062,-0.890807243459482
Gm10683_ENSMUSG00000109817,Gm10683,ENSMUSG00000109817,0.0019126199359747,-1.71576228118297,0.00108315045104304,-1.63546785715923
Asah1_ENSMUSG00000031591,Asah1,ENSMUSG00000031591,0.00138470674967716,-0.990002405818667,0.00145190201541038,-0.938098784131504
Tmed6_ENSMUSG00000031919,Tmed6,ENSMUSG00000031919,0.00374687891228293,-0.705434045509986,0.0083434514652303109,-0.558342394329546
Gm5363_ENSMUSG00000110691,Gm5363,ENSMUSG00000110691,0.0302022597040958,0.630775076851442,0.0270056598920283,0.591268210434016
Plppr2_ENSMUSG00000040563,Plppr2,ENSMUSG00000040563,0.023721470470266,0.674471702759002,0.0446535234320567,0.55973114313145
Arfgef3_ENSMUSG00000019852,Arfgef3,ENSMUSG00000019852,0.0150457134772735,1.2471948027067,0.01638952008667,0.95933664033349
Gm32819_ENSMUSG00000044694,Gm32819,ENSMUSG00000044694,0.00552010551205092,0.676898359687342,0.0083434514652303109,0.616292700729274
Cyp11a1_ENSMUSG00000032323,Cyp11a1,ENSMUSG00000032323,0.0160637377677849,-0.54334684199592,0.0201890952230104,-0.500481551660733
Gm29825_ENSMUSG00000111734,Gm29825,ENSMUSG00000111734,0.0263750212814339,0.573424796479269,0.030658472675571,0.563539222903077
Ccl28_ENSMUSG00000074715,Ccl28,ENSMUSG00000074715,0.00929525502821733,0.752931126395726,0.0104512546092041,0.682962251855183
Prps2_ENSMUSG00000025742,Prps2,ENSMUSG00000025742,0.011349353068605,-0.651785596655614,0.0083434514652303109,-0.579665479418862
_ENSMUSG00000130770,NA,ENSMUSG00000130770,0.0150457134772735,-1.19418433599833,0.0112191831684156,-1.0145918309822
_ENSMUSG00000124092,NA,ENSMUSG00000124092,0.0459986238316349,-0.997858750889028,0.0263391387335242,-0.902001599488631
Per1_ENSMUSG00000020893,Per1,ENSMUSG00000020893,0.0079462154685904,0.567521229905848,0.0083434514652303109,0.537295236409936
Rdm1_ENSMUSG00000010362,Rdm1,ENSMUSG00000010362,0.00509385492600703,0.804338994534721,0.0263391387335242,0.576688484383449
Hrob_ENSMUSG00000034773,Hrob,ENSMUSG00000034773,0.00138470674967716,0.835836645599463,0.00108315045104304,0.796283785025924
Slfn5os_ENSMUSG00000086327,Slfn5os,ENSMUSG00000086327,1.9542072970882002e-10,-4.28811418131074,1.80862314105184e-10,-3.60705519910556
Rhbdd1_ENSMUSG00000026142,Rhbdd1,ENSMUSG00000026142,0.0474816586701515,-1.58494599635438,0.0482245544565738,-1.52063845072969
Serpina3n_ENSMUSG00000021091,Serpina3n,ENSMUSG00000021091,0.0090951089714792,1.15254317622345,0.0141929855452064,1.0328253308752
4930408O17Rik_ENSMUSG00000021101,4930408O17Rik,ENSMUSG00000021101,0.00654466957675125,-0.812230538337347,0.0135938800545878,-0.66426915429224
Tex22_ENSMUSG00000012211,Tex22,ENSMUSG00000012211,5.7098368966292e-9,-4.10610852593216,1.39931762017146e-9,-2.89292334327338
Tedc1_ENSMUSG00000037466,Tedc1,ENSMUSG00000037466,0.0181590590117516,-0.55758898900141,0.0166146130353244,-0.536980725912653
Silc1_ENSMUSG00000094002,Silc1,ENSMUSG00000094002,0.00374687891228293,0.722314241984004,0.0165757533542116,0.586338722613357
Ogn_ENSMUSG00000021390,Ogn,ENSMUSG00000021390,0.0267923078045559,-0.588143274099918,0.0305299552255684,-0.559675831739616
Hsd17b3_ENSMUSG00000033122,Hsd17b3,ENSMUSG00000033122,0.0163533905713327,-0.514584349123793,0.01638952008667,-0.504672898579279
Bhmt_ENSMUSG00000074768,Bhmt,ENSMUSG00000074768,0.011349353068605,-0.590035485170747,0.0083434514652303109,-0.560046565515364
Kif21b_ENSMUSG00000041642,Kif21b,ENSMUSG00000041642,0.00962302391722164,0.678100785436977,0.00833366932280395,0.624824490642524
Ktn1_ENSMUSG00000021843,Ktn1,ENSMUSG00000021843,0.0441498022834822,-0.873538898459127,0.0446535234320567,-0.719725087914351
Rcbtb2_ENSMUSG00000022106,Rcbtb2,ENSMUSG00000022106,5.3959592662258e-4,-0.92429114382508,0.00108315045104304,-0.792502013783135
Gm7853_ENSMUSG00000072616,Gm7853,ENSMUSG00000072616,0.0347294116777373,-4.27206781721129,0.0417524115217462,-3.45275559941977
Cpq_ENSMUSG00000039007,Cpq,ENSMUSG00000039007,0.0324238771067855,-0.591090927563186,0.0382800077827179,-0.532880219601514
Ly6e_ENSMUSG00000022587,Ly6e,ENSMUSG00000022587,0.023721470470266,-0.648713322927991,0.0382800077827179,-0.550770311892539
AU021092_ENSMUSG00000051669,AU021092,ENSMUSG00000051669,0.0090951089714792,-0.705523502855156,0.0130048716084047,-0.594442533012276
Syngap1_ENSMUSG00000067629,Syngap1,ENSMUSG00000067629,5.3959592662258e-4,0.798158356441642,0.0011699475736192,0.722978292140885
Rsl24d1_ENSMUSG00000032215,Rsl24d1,ENSMUSG00000032215,0.011349353068605,-0.643699959716327,0.0226443151935303,-0.577242488177716
Gm25431_ENSMUSG00000118966,Gm25431,ENSMUSG00000118966,0.0299117651963164,0.863416136157598,0.0446529173414988,0.828769046016503
Aldh1a7_ENSMUSG00000024747,Aldh1a7,ENSMUSG00000024747,0.0112416297341698,-0.604811312449872,0.0083434514652303109,-0.608959847220795
Cpn1_ENSMUSG00000025196,Cpn1,ENSMUSG00000025196,0.0324238771067855,2.68290487692305,0.0447572755395848,1.8263663285704
Cyp2c23_ENSMUSG00000025197,Cyp2c23,ENSMUSG00000025197,0.011349353068605,0.621018491193878,0.0173634520993527,0.524950516483688
Mapkapk2_ENSMUSG00000016528,Mapkapk2,ENSMUSG00000016528,0.0138340848584164,-0.634648772891554,0.0191479914656162,-0.555574881007689
Lrrc55_ENSMUSG00000075224,Lrrc55,ENSMUSG00000075224,0.0198830137561836,0.631249557313174,0.0382800077827179,0.570725789355113
Snrpe_ENSMUSG00000090553,Snrpe,ENSMUSG00000090553,0.0216021638422419,-0.899000863820786,0.0316800372130282,-0.856900933098034
Celf3_ENSMUSG00000028137,Celf3,ENSMUSG00000028137,0.0137267680229209,0.768166729968381,0.0222588115342258,0.6841815766162
Adh1_ENSMUSG00000074207,Adh1,ENSMUSG00000074207,6.3120006939017e-4,-1.08173669934027,9.9130277303422e-4,-0.9844901752085
Hsd3b1_ENSMUSG00000027871,Hsd3b1,ENSMUSG00000027871,0.0019126199359747,-0.945873403467509,0.0015495656509105,-0.757363317832091
Amy1_ENSMUSG00000074264,Amy1,ENSMUSG00000074264,0.0267923078045559,-0.558996919645997,0.0407231344912604,-0.517084569466695
Fabp3_ENSMUSG00000028773,Fabp3,ENSMUSG00000028773,0.0160637377677849,-0.763428713343548,0.0135938800545878,-0.732832013256042
Fv1_ENSMUSG00000070583,Fv1,ENSMUSG00000070583,0.00497086614218237,-0.579607513938797,0.0083434514652303109,-0.503967170161267
Kcnk2_ENSMUSG00000037624,Kcnk2,ENSMUSG00000037624,1.4242785890398e-4,-0.955738248348558,0.00314853337114098,-0.693251071940046
Guca2b_ENSMUSG00000032978,Guca2b,ENSMUSG00000032978,0.00509385492600703,0.589147386398007,0.0083434514652303109,0.570943078617734
Ndufs5_ENSMUSG00000028648,Ndufs5,ENSMUSG00000028648,1.8592911274586e-4,-1.13771296072495,3.2132912330993e-4,-0.973520554761617
Gpr3_ENSMUSG00000049649,Gpr3,ENSMUSG00000049649,0.0160637377677849,0.741652953182898,0.0440219383276129,0.541952408499855
Elapor2_ENSMUSG00000056004,Elapor2,ENSMUSG00000056004,0.00962302391722164,0.870183275534667,0.0154941620978883,0.683724633075078
Klb_ENSMUSG00000029195,Klb,ENSMUSG00000029195,1.3185250439513e-4,1.33442330372209,3.2132912330993e-4,0.886865945363369
Smok3c_ENSMUSG00000075598,Smok3c,ENSMUSG00000075598,0.0176750261782004,0.516515050663531,0.0254154556064522,0.506857255876217
Gm10874_ENSMUSG00000075591,Gm10874,ENSMUSG00000075591,0.0154058712347028,1.40874640351842,0.0154941620978883,1.19103185300146
Gm24525_ENSMUSG00000064851,Gm24525,ENSMUSG00000064851,0.0114733528929865,0.640814522723233,0.0222588115342258,0.531661432953945
Adam22_ENSMUSG00000040537,Adam22,ENSMUSG00000040537,0.0124933749307638,0.572911575725446,0.0104512546092041,0.537179551709238
Ccdc146_ENSMUSG00000064280,Ccdc146,ENSMUSG00000064280,0.00322525728188523,-0.843870670343084,0.00156994633570822,-0.80688025909177
Sult1e1_ENSMUSG00000029272,Sult1e1,ENSMUSG00000029272,0.0041712370389279,-1.12940984764247,0.00214506992266617,-1.0848732168277
Zan_ENSMUSG00000079173,Zan,ENSMUSG00000079173,0.00929525502821733,0.590566788777989,0.0154941620978883,0.509069346365668
Gstk1_ENSMUSG00000029864,Gstk1,ENSMUSG00000029864,0.00552010551205092,-0.705110750090167,0.00955043376517433,-0.613119314117725
